Model year,Make,Model,Vehicle class,Motor (kW),Recharge time (h),Energy Efficiency (km/kWh)
2012,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2012,Nissan,LEAF,Mid-size,80,7,4.739336493
2013,Ford,Focus Electric,Compact,107,4,5
2013,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2013,Nissan,LEAF,Mid-size,80,7,4.739336493
2013,smart,fortwo electric drive cabriolet,Two-seater,35,8,5.102040816
2013,smart,fortwo electric drive coupe,Two-seater,35,8,5.102040816
2013,Tesla,Model S (40 kWh),Full-size,225,6,4.504504505
2013,Tesla,Model S (60 kWh),Full-size,225,10,4.566210046
2013,Tesla,Model S (85 kWh),Full-size,270,12,4.237288136
2013,Tesla,Model S Performance,Full-size,310,12,4.237288136
2014,Chevrolet,Spark EV,Subcompact,104,7,5.617977528
2014,Ford,Focus Electric,Compact,107,4,5
2014,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2014,Nissan,LEAF,Mid-size,80,5,5.434782609
2014,smart,fortwo electric drive cabriolet,Two-seater,35,8,5.102040816
2014,smart,fortwo electric drive coupe,Two-seater,35,8,5.102040816
2014,Tesla,Model S (60 kWh),Full-size,225,10,4.566210046
2014,Tesla,Model S (85 kWh),Full-size,270,12,4.237288136
2014,Tesla,Model S Performance,Full-size,310,12,4.237288136
2015,BMW,i3,Subcompact,125,4,5.952380952
2015,Chevrolet,Spark EV,Subcompact,104,7,5.617977528
2015,Ford,Focus Electric,Compact,107,4,5
2015,Kia,Soul EV,Station wagon: Small,81,4,5.025125628
2015,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2015,Nissan,LEAF,Mid-size,80,5,5.434782609
2015,smart,fortwo electric drive cabriolet,Two-seater,35,8,5.102040816
2015,smart,fortwo electric drive coupe,Two-seater,35,8,5.102040816
2015,Tesla,Model S (60 kWh),Full-size,285,10,4.566210046
2015,Tesla,Model S (70 kWh),Full-size,285,12,4.237288136
2015,Tesla,Model S (85/90 kWh),Full-size,285,12,4.237288136
2015,Tesla,Model S 70D,Full-size,280,12,4.830917874
2015,Tesla,Model S 85D/90D,Full-size,280,12,4.761904762
2015,Tesla,Model S P85D/P90D,Full-size,515,12,4.444444444
2016,BMW,i3,Subcompact,125,4,5.952380952
2016,Chevrolet,Spark EV,Subcompact,104,7,5.617977528
2016,Ford,Focus Electric,Compact,107,4,5
2016,Kia,Soul EV,Station wagon: Small,81,4,5.025125628
2016,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2016,Nissan,LEAF (24 kWh),Mid-size,80,5,5.434782609
2016,Nissan,LEAF (30 kWh),Mid-size,80,6,5.376344086
2016,smart,fortwo electric drive cabriolet,Two-seater,35,8,5.102040816
2016,smart,fortwo electric drive coupe,Two-seater,35,8,5.102040816
2016,Tesla,Model S (60 kWh pre-6/16),Full-size,285,10,4.566210046
2016,Tesla,Model S (60 kWh),Full-size,285,10,4.739336493
2016,Tesla,Model S (70 kWh),Full-size,285,12,4.237288136
2016,Tesla,Model S (75 kWh),Full-size,285,12,4.694835681
2016,Tesla,Model S (85/90 kWh),Full-size,285,12,4.237288136
2016,Tesla,Model S 60D,Full-size,386,10,4.95049505
2016,Tesla,Model S 70D,Full-size,386,12,4.830917874
2016,Tesla,Model S 75D,Full-size,386,12,4.926108374
2016,Tesla,Model S 85D/90D,Full-size,386,12,4.761904762
2016,Tesla,Model S 90D (Refresh),Full-size,386,12,4.926108374
2016,Tesla,Model S P85D/P90D,Full-size,568,12,4.444444444
2016,Tesla,Model S P90D (Refresh),Full-size,568,12,4.524886878
2016,Tesla,Model S P100D,Full-size,568,12,4.651162791
2016,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,10,4.424778761
2016,Tesla,Model X 75D,Sport utility vehicle: Standard,386,12,4.444444444
2016,Tesla,Model X 90D,Sport utility vehicle: Standard,386,12,4.405286344
2016,Tesla,Model X P90D,Sport utility vehicle: Standard,568,12,4.255319149
2016,Tesla,Model X P100D,Sport utility vehicle: Standard,568,12,4.098360656
2017,BMW,i3 (60 Ah),Subcompact,125,4,5.952380952
2017,BMW,i3 (94 Ah),Subcompact,125,5,5.617977528
2017,Chevrolet,Bolt EV,Station wagon: Small,150,9.3,5.681818182
2017,Ford,Focus Electric,Compact,107,5.5,5.102040816
2017,Hyundai,IONIQ Electric,Mid-size,88,4,6.451612903
2017,Kia,Soul EV,Station wagon: Small,81,4,5.025125628
2017,Mitsubishi,i-MiEV,Subcompact,49,7,5.347593583
2017,Nissan,LEAF,Mid-size,80,6,5.376344086
2017,Tesla,Model S (60 kWh),Full-size,285,10,4.739336493
2017,Tesla,Model S (75 kWh),Full-size,285,12,4.694835681
2017,Tesla,Model S 60D,Full-size,386,10,4.95049505
2017,Tesla,Model S 75D,Full-size,386,12,4.926108374
2017,Tesla,Model S 90D,Full-size,386,12,4.95049505
2017,Tesla,Model S 100D,Full-size,386,12,4.854368932
2017,Tesla,Model S P90D,Full-size,568,12,4.545454545
2017,Tesla ,Model S P100D,Full-size,568,12,4.651162791
2017,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,10,4.424778761
2017,Tesla ,Model X 75D,Sport utility vehicle: Standard,386,12,4.444444444
2017,Tesla ,Model X 90D,Sport utility vehicle: Standard,386,12,4.405286344
2017,Tesla ,Model X 100D,Sport utility vehicle: Standard,386,12,4.166666667
2017,Tesla ,Model X P90D,Sport utility vehicle: Standard,568,12,4.255319149
2017,Tesla ,Model X P100D,Sport utility vehicle: Standard,568,12,4.098360656
2017,Volkswagen,e-Golf,Compact,100,5.3,5.747126437
2018,BMW,i3,Subcompact,125,5,5.617977528
2018,BMW,i3s,Subcompact,135,5,5.291005291
2018,Chevrolet,Bolt EV,Station wagon: Small,150,9.3,5.681818182
2018,Ford,Focus Electric,Compact,107,5.5,5.102040816
2018,Hyundai,IONIQ Electric,Mid-size,88,4,6.451612903
2018,Kia,Soul EV,Station wagon: Small,81,5,5.18134715
2018,Nissan,LEAF,Mid-size,110,8,5.319148936
2018,smart,fortwo electric drive cabriolet,Two-seater,60,3,4.830917874
2018,smart,fortwo electric drive coupe,Two-seater,60,3,5.18134715
2018,Tesla,Model 3 Mid Range,Mid-size,202,10,5.847953216
2018,Tesla,Model 3 Long Range,Mid-size,202,10,6.211180124
2018,Tesla,Model 3 Long Range AWD,Mid-size,335,10,5.555555556
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,10,5.555555556
2018,Tesla,Model S (75 kWh),Full-size,285,12,4.694835681
2018,Tesla,Model S 75D,Full-size,386,12,4.926108374
2018,Tesla,Model S 100D,Full-size,386,12,4.854368932
2018,Tesla,Model S P100D,Full-size,568,12,4.651162791
